area_sqft,floors,building_type,structure_type,wall_material,construction_stage,cement_bags,sand_cubic_meters,steel_kg,bricks_units,aggregates_cubic_meters,estimated_days,estimated_cost_inr
1957,3,Industrial,RCC,AAC Blocks,Flooring,626,46.97,4697,12525,78.28,10,195700
4710,1,Industrial,RCC,AAC Blocks,Foundation,1507,113.04,11304,30144,188.4,15,706500
711,2,Industrial,Steel Frame,Brick,Foundation,341,25.6,2560,6826,42.66,15,106650
1126,2,Industrial,RCC,Brick,Foundation,450,33.78,3378,9008,56.3,15,168900
3864,2,Commercial,RCC,Brick,Excavation,1546,115.92,11592,30912,193.2,5,193200
2248,5,Commercial,Steel Frame,AAC Blocks,Flooring,863,64.74,6474,17265,107.9,10,224800
4205,3,Industrial,RCC,AAC Blocks,Foundation,1346,100.92,10092,26912,168.2,15,630750
2625,4,Commercial,Load Bearing,Brick,Excavation,998,74.81,7481,19950,124.69,5,131250
1433,3,Industrial,Steel Frame,Concrete Blocks,Excavation,619,46.43,4643,12381,77.38,5,71650
4651,1,Residential,Steel Frame,Brick,Framing,2232,167.44,16744,44650,279.06,30,1860400
2839,5,Industrial,Steel Frame,AAC Blocks,Framing,1090,81.76,8176,21804,136.27,30,1135600
505,5,Commercial,RCC,Concrete Blocks,Foundation,182,13.63,1364,3636,22.73,15,75750
664,5,Commercial,RCC,Brick,Excavation,266,19.92,1992,5312,33.2,5,33200
2768,2,Commercial,Load Bearing,AAC Blocks,Excavation,841,63.11,6311,16829,105.18,5,138400
1932,4,Industrial,Steel Frame,AAC Blocks,Framing,742,55.64,5564,14838,92.74,30,772800
2825,4,Commercial,RCC,Brick,Foundation,1130,84.75,8475,22600,141.25,15,423750
3230,1,Commercial,Load Bearing,AAC Blocks,Excavation,982,73.64,7364,19638,122.74,5,161500
4362,2,Residential,Steel Frame,AAC Blocks,Foundation,1675,125.63,12563,33500,209.38,15,654300
2812,3,Industrial,Load Bearing,AAC Blocks,Foundation,855,64.11,6411,17097,106.86,15,421800
1351,5,Residential,RCC,Concrete Blocks,Excavation,486,36.48,3648,9727,60.8,5,67550
1887,3,Residential,Load Bearing,AAC Blocks,Foundation,574,43.02,4302,11473,71.71,15,283050
4010,2,Commercial,RCC,Concrete Blocks,Excavation,1444,108.27,10827,28872,180.45,5,200500
1662,1,Commercial,Steel Frame,Brick,Excavation,798,59.83,5983,15955,99.72,5,83100
1964,2,Commercial,Steel Frame,Brick,Framing,943,70.7,7070,18854,117.84,30,785600
1554,3,Residential,RCC,Concrete Blocks,Framing,559,41.96,4196,11189,69.93,30,621600
4337,2,Industrial,Load Bearing,Brick,Plastering,1648,123.6,12360,32961,206.01,20,520440
3487,1,Commercial,Steel Frame,Brick,Flooring,1674,125.53,12553,33475,209.22,10,348700
1697,1,Residential,RCC,Concrete Blocks,Foundation,611,45.82,4582,12218,76.37,15,254550
2536,3,Residential,Steel Frame,Brick,Flooring,1217,91.3,9130,24346,152.16,10,253600
2548,2,Industrial,Steel Frame,Brick,Plastering,1223,91.73,9173,24461,152.88,20,305760
896,4,Commercial,RCC,Concrete Blocks,Plastering,323,24.19,2419,6451,40.32,20,107520
908,2,Industrial,Load Bearing,AAC Blocks,Excavation,276,20.7,2070,5521,34.5,5,45400
4475,4,Commercial,Steel Frame,Brick,Flooring,2148,161.1,16110,42960,268.5,10,447500
3608,5,Industrial,Load Bearing,Concrete Blocks,Flooring,1234,92.55,9255,24679,154.24,10,360800
4882,4,Industrial,RCC,Concrete Blocks,Flooring,1758,131.81,13181,35150,219.69,10,488200
2617,5,Residential,RCC,Concrete Blocks,Framing,942,70.66,7066,18842,117.77,30,1046800
2719,1,Residential,RCC,AAC Blocks,Plastering,870,65.26,6526,17402,108.76,20,326280
1784,3,Commercial,RCC,Concrete Blocks,Plastering,642,48.17,4817,12845,80.28,20,214080
1895,2,Commercial,Load Bearing,AAC Blocks,Framing,576,43.21,4321,11522,72.01,30,758000
4019,1,Residential,Load Bearing,Concrete Blocks,Flooring,1374,103.09,10309,27490,171.81,10,401900
2631,3,Industrial,RCC,AAC Blocks,Foundation,842,63.14,6314,16838,105.24,15,394650
4067,1,Residential,Load Bearing,AAC Blocks,Framing,1236,92.73,9273,24727,154.55,30,1626800
1909,1,Residential,Steel Frame,AAC Blocks,Excavation,733,54.98,5498,14661,91.63,5,95450
4635,1,Residential,Steel Frame,AAC Blocks,Plastering,1780,133.49,13349,35597,222.48,20,556200
2151,2,Industrial,Load Bearing,Brick,Flooring,817,61.3,6130,16348,102.17,10,215100
1956,5,Industrial,Load Bearing,Brick,Framing,743,55.75,5575,14866,92.91,30,782400
3886,1,Commercial,Load Bearing,AAC Blocks,Framing,1181,88.6,8860,23627,147.67,30,1554400
2011,4,Commercial,RCC,AAC Blocks,Framing,644,48.26,4826,12870,80.44,30,804400
1760,1,Residential,RCC,AAC Blocks,Framing,563,42.24,4224,11264,70.4,30,704000
1631,4,Commercial,Steel Frame,Concrete Blocks,Excavation,705,52.84,5284,14092,88.07,5,81550
2131,4,Industrial,Steel Frame,Concrete Blocks,Framing,921,69.04,6904,18412,115.07,30,852400
3587,3,Commercial,RCC,AAC Blocks,Excavation,1148,86.09,8609,22957,143.48,5,179350
3573,5,Industrial,RCC,Brick,Foundation,1429,107.19,10719,28584,178.65,15,535950
2734,2,Commercial,Load Bearing,Brick,Framing,1039,77.92,7792,20778,129.87,30,1093600
3234,4,Residential,Steel Frame,AAC Blocks,Plastering,1242,93.14,9314,24837,155.23,20,388080
4077,4,Industrial,Steel Frame,Brick,Flooring,1957,146.77,14677,39139,244.62,10,407700
2503,1,Industrial,RCC,Brick,Excavation,1001,75.09,7509,20024,125.15,5,125150
4580,4,Industrial,Load Bearing,AAC Blocks,Plastering,1392,104.42,10442,27846,174.04,20,549600
4854,4,Commercial,Steel Frame,AAC Blocks,Excavation,1864,139.8,13980,37279,232.99,5,242700
2073,5,Commercial,Load Bearing,AAC Blocks,Framing,630,47.26,4726,12604,78.77,30,829200
4074,3,Commercial,RCC,Brick,Excavation,1630,122.22,12222,32592,203.7,5,203700
518,2,Commercial,Load Bearing,Brick,Excavation,197,14.76,1476,3937,24.61,5,25900
1589,2,Residential,Steel Frame,Concrete Blocks,Framing,686,51.48,5148,13729,85.81,30,635600
2410,4,Commercial,Steel Frame,Concrete Blocks,Framing,1041,78.08,7808,20822,130.14,30,964000
2235,1,Commercial,Steel Frame,AAC Blocks,Excavation,858,64.37,6437,17165,107.28,5,111750
1658,1,Residential,RCC,Brick,Excavation,663,49.74,4974,13264,82.9,5,82900
1580,5,Industrial,Steel Frame,AAC Blocks,Plastering,607,45.5,4550,12134,75.84,20,189600
1445,1,Commercial,Load Bearing,AAC Blocks,Foundation,439,32.95,3295,8786,54.91,15,216750
3865,3,Industrial,Load Bearing,Brick,Foundation,1469,110.15,11015,29374,183.59,15,579750
2430,2,Industrial,Load Bearing,Concrete Blocks,Plastering,831,62.33,6233,16621,103.88,20,291600
2119,3,Industrial,Load Bearing,AAC Blocks,Framing,644,48.31,4831,12884,80.52,30,847600
1949,2,Residential,RCC,AAC Blocks,Excavation,624,46.78,4678,12474,77.96,5,97450
1315,3,Industrial,Steel Frame,Brick,Framing,631,47.34,4734,12624,78.9,30,526000
2248,3,Industrial,Load Bearing,Brick,Foundation,854,64.07,6407,17085,106.78,15,337200
2162,3,Industrial,Steel Frame,AAC Blocks,Excavation,830,62.27,6227,16604,103.78,5,108100
3695,3,Residential,Load Bearing,Brick,Excavation,1404,105.31,10531,28082,175.51,5,184750
1980,1,Commercial,Steel Frame,Brick,Foundation,950,71.28,7128,19008,118.8,15,297000
947,4,Commercial,Load Bearing,AAC Blocks,Foundation,288,21.59,2159,5758,35.99,15,142050
869,4,Commercial,Load Bearing,Concrete Blocks,Foundation,297,22.29,2229,5944,37.15,15,130350
2892,3,Commercial,RCC,Brick,Framing,1157,86.76,8676,23136,144.6,30,1156800
980,1,Commercial,Load Bearing,Brick,Flooring,372,27.93,2793,7448,46.55,10,98000
1571,2,Commercial,Load Bearing,AAC Blocks,Excavation,478,35.82,3582,9552,59.7,5,78550
1980,4,Residential,RCC,Concrete Blocks,Foundation,713,53.46,5346,14256,89.1,15,297000
1580,4,Residential,RCC,Brick,Framing,632,47.4,4740,12640,79,30,632000
2295,3,Commercial,Load Bearing,Concrete Blocks,Plastering,785,58.87,5887,15698,98.11,20,275400
2724,1,Commercial,Load Bearing,AAC Blocks,Excavation,828,62.11,6211,16562,103.51,5,136200
4226,1,Commercial,Steel Frame,Concrete Blocks,Excavation,1826,136.92,13692,36513,228.2,5,211300
4914,4,Commercial,Steel Frame,AAC Blocks,Excavation,1887,141.52,14152,37740,235.87,5,245700
3145,5,Commercial,Load Bearing,Concrete Blocks,Excavation,1076,80.67,8067,21512,134.45,5,157250
2770,2,Residential,Load Bearing,Concrete Blocks,Excavation,947,71.05,7105,18947,118.42,5,138500
2802,5,Industrial,Steel Frame,Concrete Blocks,Plastering,1210,90.78,9078,24209,151.31,20,336240
3061,3,Commercial,Steel Frame,Brick,Framing,1469,110.2,11020,29386,183.66,30,1224400
4451,1,Residential,Steel Frame,AAC Blocks,Foundation,1709,128.19,12819,34184,213.65,15,667650
2718,4,Commercial,Steel Frame,AAC Blocks,Excavation,1044,78.28,7828,20874,130.46,5,135900
2601,1,Commercial,RCC,Brick,Plastering,1040,78.03,7803,20808,130.05,20,312120
4175,4,Industrial,Load Bearing,Concrete Blocks,Flooring,1428,107.09,10709,28557,178.48,10,417500
3209,2,Industrial,RCC,Concrete Blocks,Framing,1155,86.64,8664,23105,144.41,30,1283600
527,1,Residential,Load Bearing,AAC Blocks,Plastering,160,12.02,1202,3204,20.03,20,63240
2130,3,Commercial,Steel Frame,Brick,Excavation,1022,76.68,7668,20448,127.8,5,106500
2044,5,Industrial,Steel Frame,AAC Blocks,Flooring,785,58.87,5887,15698,98.11,10,204400
1284,3,Commercial,Steel Frame,Brick,Plastering,616,46.22,4622,12326,77.04,20,154080
4893,3,Commercial,RCC,Brick,Foundation,1957,146.79,14679,39144,244.65,15,733950
4845,2,Industrial,RCC,Brick,Flooring,1938,145.35,14535,38760,242.25,10,484500
3325,5,Industrial,Load Bearing,AAC Blocks,Plastering,1011,75.81,7581,20216,126.35,20,399000
1586,5,Commercial,Load Bearing,AAC Blocks,Framing,482,36.16,3616,9643,60.27,30,634400
4401,2,Industrial,Load Bearing,AAC Blocks,Flooring,1338,100.34,10034,26758,167.24,10,440100
3972,3,Residential,RCC,Brick,Flooring,1589,119.16,11916,31776,198.6,10,397200
2107,4,Industrial,Steel Frame,Concrete Blocks,Plastering,910,68.27,6827,18204,113.78,20,252840
1442,1,Commercial,Load Bearing,Concrete Blocks,Flooring,493,36.99,3699,9863,61.65,10,144200
1125,1,Commercial,Load Bearing,Concrete Blocks,Foundation,385,28.86,2886,7695,48.09,15,168750
4030,5,Commercial,Load Bearing,Brick,Excavation,1531,114.85,11486,30628,191.42,5,201500
2662,2,Industrial,Steel Frame,Brick,Framing,1278,95.83,9583,25555,159.72,30,1064800
1213,1,Residential,Load Bearing,Concrete Blocks,Foundation,415,31.11,3111,8297,51.86,15,181950
1866,3,Residential,Load Bearing,Brick,Plastering,709,53.18,5318,14182,88.64,20,223920
2280,4,Commercial,Steel Frame,Brick,Excavation,1094,82.08,8208,21888,136.8,5,114000
4069,3,Industrial,RCC,Brick,Flooring,1628,122.07,12207,32552,203.45,10,406900
708,4,Commercial,RCC,Concrete Blocks,Excavation,255,19.12,1912,5098,31.86,5,35400
3801,4,Commercial,Load Bearing,Brick,Foundation,1444,108.33,10833,28888,180.55,15,570150
3915,3,Industrial,Load Bearing,AAC Blocks,Foundation,1190,89.26,8926,23803,148.77,15,587250
4581,4,Industrial,RCC,AAC Blocks,Excavation,1466,109.94,10994,29318,183.24,5,229050
4555,2,Industrial,Load Bearing,Concrete Blocks,Foundation,1558,116.84,11684,31156,194.73,15,683250
1790,3,Residential,Load Bearing,Concrete Blocks,Flooring,612,45.91,4591,12244,76.52,10,179000
2901,2,Commercial,Load Bearing,Concrete Blocks,Plastering,992,74.41,7441,19843,124.02,20,348120
1377,4,Residential,Load Bearing,AAC Blocks,Flooring,419,31.4,3140,8372,52.33,10,137700
4228,1,Residential,Steel Frame,AAC Blocks,Framing,1624,121.77,12177,32471,202.94,30,1691200
2433,4,Residential,Steel Frame,Concrete Blocks,Foundation,1051,78.83,7883,21021,131.38,15,364950
2002,5,Commercial,RCC,AAC Blocks,Excavation,641,48.05,4805,12813,80.08,5,100100
4215,4,Residential,Steel Frame,Brick,Flooring,2023,151.74,15174,40464,252.9,10,421500
2935,4,Commercial,Load Bearing,AAC Blocks,Foundation,892,66.92,6692,17845,111.53,15,440250
881,3,Commercial,RCC,AAC Blocks,Foundation,282,21.14,2114,5638,35.24,15,132150
653,2,Industrial,RCC,Brick,Plastering,261,19.59,1959,5224,32.65,20,78360
1553,3,Industrial,Load Bearing,Concrete Blocks,Excavation,531,39.83,3983,10623,66.39,5,77650
2127,3,Industrial,RCC,Brick,Foundation,851,63.81,6381,17016,106.35,15,319050
4621,4,Commercial,Load Bearing,AAC Blocks,Flooring,1405,105.36,10536,28096,175.6,10,462100
3208,1,Industrial,Steel Frame,AAC Blocks,Foundation,1232,92.39,9239,24637,153.98,15,481200
1432,4,Residential,RCC,Concrete Blocks,Plastering,516,38.66,3866,10310,64.44,20,171840
3294,2,Residential,Load Bearing,AAC Blocks,Framing,1001,75.1,7510,20028,125.17,30,1317600
2261,3,Residential,Steel Frame,AAC Blocks,Flooring,868,65.12,6512,17364,108.53,10,226100
2342,4,Industrial,Steel Frame,AAC Blocks,Framing,899,67.45,6745,17987,112.42,30,936800
2998,3,Industrial,RCC,AAC Blocks,Framing,959,71.95,7195,19187,119.92,30,1199200
3949,3,Industrial,Steel Frame,Brick,Excavation,1896,142.16,14216,37910,236.94,5,197450
1806,3,Residential,RCC,AAC Blocks,Foundation,578,43.34,4334,11558,72.24,15,270900
610,1,Industrial,RCC,AAC Blocks,Flooring,195,14.64,1464,3904,24.4,10,61000
2286,4,Industrial,Load Bearing,AAC Blocks,Foundation,695,52.12,5212,13899,86.87,15,342900
4148,1,Residential,Load Bearing,Concrete Blocks,Plastering,1419,106.4,10640,28372,177.33,20,497760
1241,3,Residential,Load Bearing,AAC Blocks,Plastering,377,28.29,2829,7545,47.16,20,148920
2216,4,Industrial,RCC,AAC Blocks,Foundation,709,53.18,5318,14182,88.64,15,332400
1402,4,Residential,Steel Frame,AAC Blocks,Flooring,538,40.38,4038,10767,67.3,10,140200
4960,4,Industrial,Load Bearing,Concrete Blocks,Foundation,1696,127.22,12722,33926,212.04,15,744000
1668,2,Commercial,RCC,AAC Blocks,Excavation,534,40.03,4003,10675,66.72,5,83400
2638,2,Industrial,RCC,AAC Blocks,Foundation,844,63.31,6331,16883,105.52,15,395700
3347,2,Industrial,RCC,Brick,Excavation,1339,100.41,10041,26776,167.35,5,167350
2279,5,Residential,RCC,AAC Blocks,Plastering,729,54.7,5470,14586,91.16,20,273480
2817,3,Commercial,Steel Frame,Concrete Blocks,Framing,1217,91.27,9127,24339,152.12,30,1126800
940,1,Residential,Load Bearing,Concrete Blocks,Excavation,321,24.11,2411,6430,40.19,5,47000
1750,1,Industrial,Load Bearing,Brick,Foundation,665,49.88,4988,13300,83.12,15,262500
1228,3,Residential,Steel Frame,Brick,Framing,589,44.21,4421,11789,73.68,30,491200
2517,4,Commercial,Load Bearing,Brick,Flooring,956,71.73,7173,19129,119.56,10,251700
2900,3,Industrial,RCC,Concrete Blocks,Plastering,1044,78.3,7830,20880,130.5,20,348000
2370,2,Commercial,RCC,AAC Blocks,Flooring,758,56.88,5688,15168,94.8,10,237000
2972,4,Industrial,Load Bearing,Brick,Plastering,1129,84.7,8470,22587,141.17,20,356640
696,4,Residential,Steel Frame,Concrete Blocks,Foundation,301,22.55,2255,6013,37.58,15,104400
2758,2,Commercial,Steel Frame,Concrete Blocks,Excavation,1191,89.36,8936,23829,148.93,5,137900
2477,1,Commercial,Load Bearing,Brick,Framing,941,70.59,7059,18825,117.66,30,990800
3656,5,Residential,RCC,AAC Blocks,Framing,1170,87.74,8774,23398,146.24,30,1462400
3646,5,Commercial,Steel Frame,Concrete Blocks,Foundation,1575,118.13,11813,31501,196.88,15,546900
4309,2,Residential,RCC,Brick,Flooring,1724,129.27,12927,34472,215.45,10,430900
4367,4,Residential,Load Bearing,Brick,Flooring,1659,124.46,12446,33189,207.43,10,436700
1211,5,Industrial,RCC,Brick,Plastering,484,36.33,3633,9688,60.55,20,145320
4117,1,Residential,Steel Frame,Brick,Excavation,1976,148.21,14821,39523,247.02,5,205850
3541,3,Commercial,RCC,AAC Blocks,Flooring,1133,84.98,8498,22662,141.64,10,354100
1172,1,Industrial,RCC,AAC Blocks,Plastering,375,28.13,2813,7501,46.88,20,140640
4693,5,Residential,RCC,Brick,Framing,1877,140.79,14079,37544,234.65,30,1877200
1224,1,Industrial,Load Bearing,Brick,Excavation,465,34.88,3488,9302,58.14,5,61200
4698,3,Industrial,Load Bearing,Concrete Blocks,Flooring,1607,120.5,12050,32134,200.84,10,469800
2197,1,Residential,RCC,Concrete Blocks,Flooring,791,59.32,5932,15818,98.87,10,219700
4483,1,Residential,Load Bearing,AAC Blocks,Foundation,1363,102.21,10221,27257,170.35,15,672450
2486,3,Industrial,Load Bearing,AAC Blocks,Plastering,756,56.68,5668,15115,94.47,20,298320
3681,2,Industrial,Load Bearing,AAC Blocks,Flooring,1119,83.93,8393,22380,139.88,10,368100
1028,4,Industrial,Steel Frame,Concrete Blocks,Flooring,444,33.31,3331,8882,55.51,10,102800
1636,3,Industrial,RCC,Concrete Blocks,Flooring,589,44.17,4417,11779,73.62,10,163600
1883,1,Industrial,Load Bearing,AAC Blocks,Excavation,572,42.93,4293,11449,71.55,5,94150
4846,3,Industrial,Load Bearing,AAC Blocks,Plastering,1473,110.49,11049,29464,184.15,20,581520
4244,2,Residential,RCC,AAC Blocks,Excavation,1358,101.86,10186,27162,169.76,5,212200
1217,2,Commercial,Load Bearing,Concrete Blocks,Excavation,416,31.22,3122,8324,52.03,5,60850
4565,2,Commercial,RCC,Brick,Framing,1826,136.95,13695,36520,228.25,30,1826000
1548,2,Residential,Load Bearing,Concrete Blocks,Excavation,529,39.71,3971,10588,66.18,5,77400
4253,1,Residential,Load Bearing,Concrete Blocks,Plastering,1455,109.09,10909,29091,181.82,20,510360
2375,1,Residential,RCC,AAC Blocks,Plastering,760,57,5700,15200,95,20,285000
2033,4,Residential,Load Bearing,Concrete Blocks,Plastering,695,52.15,5215,13906,86.91,20,243960
3555,4,Residential,Load Bearing,AAC Blocks,Excavation,1081,81.05,8105,21614,135.09,5,177750
4330,3,Industrial,Steel Frame,Brick,Foundation,2078,155.88,15588,41568,259.8,15,649500
2234,2,Commercial,Steel Frame,Brick,Excavation,1072,80.42,8042,21446,134.04,5,111700
1341,1,Industrial,RCC,AAC Blocks,Plastering,429,32.18,3218,8582,53.64,20,160920
4263,1,Commercial,Load Bearing,AAC Blocks,Plastering,1296,97.2,9720,25919,161.99,20,511560
3699,1,Industrial,RCC,Brick,Foundation,1480,110.97,11097,29592,184.95,15,554850
1660,1,Industrial,Steel Frame,AAC Blocks,Flooring,637,47.81,4781,12749,79.68,10,166000
1502,2,Commercial,RCC,AAC Blocks,Framing,481,36.05,3605,9613,60.08,30,600800
3788,5,Commercial,Load Bearing,AAC Blocks,Foundation,1152,86.37,8637,23031,143.94,15,568200
4892,3,Industrial,RCC,Concrete Blocks,Excavation,1761,132.08,13208,35222,220.14,5,244600
2775,2,Commercial,Steel Frame,AAC Blocks,Foundation,1066,79.92,7992,21312,133.2,15,416250
3043,5,Commercial,Steel Frame,AAC Blocks,Excavation,1169,87.64,8764,23370,146.06,5,152150
2871,5,Commercial,Load Bearing,Concrete Blocks,Plastering,982,73.64,7364,19638,122.74,20,344520
3403,4,Residential,Steel Frame,Brick,Excavation,1633,122.51,12251,32669,204.18,5,170150
3373,4,Industrial,Load Bearing,Brick,Framing,1282,96.13,9613,25635,160.22,30,1349200
781,4,Industrial,Load Bearing,Brick,Framing,297,22.26,2226,5936,37.1,30,312400
2165,3,Residential,RCC,Brick,Foundation,866,64.95,6495,17320,108.25,15,324750
4994,2,Commercial,Load Bearing,Concrete Blocks,Foundation,1708,128.1,12810,34159,213.49,15,749100
4367,1,Residential,Load Bearing,AAC Blocks,Flooring,1328,99.57,9957,26551,165.95,10,436700
2665,4,Commercial,Load Bearing,Brick,Plastering,1013,75.95,7595,20254,126.59,20,319800
1031,4,Industrial,Load Bearing,Brick,Foundation,392,29.38,2938,7836,48.97,15,154650
3212,5,Commercial,Load Bearing,Concrete Blocks,Foundation,1099,82.39,8239,21970,137.31,15,481800
2937,2,Residential,Steel Frame,Brick,Excavation,1410,105.73,10573,28195,176.22,5,146850
2185,1,Industrial,Steel Frame,Brick,Excavation,1049,78.66,7866,20976,131.1,5,109250
4829,2,Commercial,Steel Frame,AAC Blocks,Foundation,1854,139.08,13908,37087,231.79,15,724350
2309,5,Residential,Steel Frame,Concrete Blocks,Plastering,997,74.81,7481,19950,124.69,20,277080
2671,2,Industrial,RCC,AAC Blocks,Plastering,855,64.1,6410,17094,106.84,20,320520
4037,1,Industrial,Load Bearing,Brick,Foundation,1534,115.05,11505,30681,191.76,15,605550
1076,4,Commercial,Load Bearing,Brick,Excavation,409,30.67,3067,8178,51.11,5,53800
2124,2,Commercial,Steel Frame,AAC Blocks,Framing,816,61.17,6117,16312,101.95,30,849600
1300,3,Commercial,Load Bearing,AAC Blocks,Flooring,395,29.64,2964,7904,49.4,10,130000
1753,3,Residential,Steel Frame,Brick,Excavation,841,63.11,6311,16829,105.18,5,87650
4231,5,Commercial,Load Bearing,AAC Blocks,Framing,1286,96.47,9647,25724,160.78,30,1692400
2645,2,Industrial,Load Bearing,Brick,Flooring,1005,75.38,7538,20102,125.64,10,264500
3872,2,Commercial,Load Bearing,Concrete Blocks,Foundation,1324,99.32,9932,26484,165.53,15,580800
3689,1,Residential,RCC,Concrete Blocks,Plastering,1328,99.6,9960,26561,166.01,20,442680
710,2,Commercial,RCC,Brick,Framing,284,21.3,2130,5680,35.5,30,284000
2079,5,Commercial,RCC,AAC Blocks,Foundation,665,49.9,4990,13306,83.16,15,311850
1070,4,Industrial,Steel Frame,AAC Blocks,Foundation,411,30.82,3082,8218,51.36,15,160500
1104,4,Commercial,Steel Frame,Brick,Flooring,530,39.74,3974,10598,66.24,10,110400
4881,4,Industrial,Load Bearing,AAC Blocks,Excavation,1484,111.29,11129,29676,185.48,5,244050
4483,5,Commercial,Steel Frame,AAC Blocks,Flooring,1721,129.11,12911,34429,215.18,10,448300
715,2,Industrial,Steel Frame,AAC Blocks,Excavation,275,20.59,2059,5491,34.32,5,35750
2218,1,Residential,RCC,AAC Blocks,Framing,710,53.23,5323,14195,88.72,30,887200
4653,2,Commercial,RCC,Concrete Blocks,Excavation,1675,125.63,12563,33502,209.39,5,232650
2293,5,Residential,Steel Frame,AAC Blocks,Flooring,881,66.04,6604,17610,110.06,10,229300
1170,4,Commercial,Load Bearing,Concrete Blocks,Plastering,400,30.01,3001,8003,50.02,20,140400
4879,3,Commercial,Steel Frame,Concrete Blocks,Framing,2108,158.08,15808,42155,263.47,30,1951600
906,1,Commercial,RCC,Concrete Blocks,Excavation,326,24.46,2446,6523,40.77,5,45300
4218,5,Commercial,RCC,Concrete Blocks,Plastering,1518,113.89,11389,30370,189.81,20,506160
3108,5,Residential,Steel Frame,Concrete Blocks,Flooring,1343,100.7,10070,26853,167.83,10,310800
1139,3,Commercial,Steel Frame,Brick,Flooring,547,41,4100,10934,68.34,10,113900
2619,1,Industrial,RCC,Brick,Framing,1048,78.57,7857,20952,130.95,30,1047600
3119,5,Commercial,RCC,Brick,Flooring,1248,93.57,9357,24952,155.95,10,311900
1836,4,Industrial,RCC,AAC Blocks,Flooring,588,44.06,4406,11750,73.44,10,183600
2042,3,Residential,Load Bearing,Brick,Plastering,776,58.2,5820,15519,97,20,245040
3745,5,Commercial,RCC,AAC Blocks,Excavation,1198,89.88,8988,23968,149.8,5,187250
4217,5,Industrial,RCC,Concrete Blocks,Flooring,1518,113.86,11386,30362,189.77,10,421700
2375,3,Residential,RCC,AAC Blocks,Excavation,760,57,5700,15200,95,5,118750
4501,2,Industrial,RCC,Brick,Framing,1800,135.03,13503,36008,225.05,30,1800400
2171,1,Industrial,Steel Frame,Concrete Blocks,Plastering,938,70.34,7034,18757,117.23,20,260520
4673,1,Commercial,RCC,Brick,Foundation,1869,140.19,14019,37384,233.65,15,700950
