ProjectType,ProjectSize_sqm,Location,Complexity,NumFloors,StartDate,EndDate,ConstructionCost,MaterialCost,LaborCost,EquipmentCost,PermitCost,ContingencyCost,OverheadCost,NumWorkers,WeatherConditions,PrevProjectCompletionTime,PrevProjectCost,ConstructionLevel
Commercial,17617,Urban,4,28,10-10-2018 04:07,06-06-2021 04:07,43411522.51,8744348.179,7805134.204,2368476.95,1810837.945,3485180.339,7986322.228,195,Foggy,429,45424028.02,Large
Residential,16604,Rural,4,14,20-01-2017 02:47,03-09-2019 02:47,12103676.9,4239231.781,3839653.178,1133519.721,479297.0829,965749.7053,2401218.299,18,Clear,272,75093405.73,Large
Educational,8229,Rural,4,34,19-05-2017 11:59,13-12-2018 11:59,10685679.99,4672623.102,3392353.089,1568840.956,202479.7457,578151.1601,840722.01,226,Storm,919,25019155.27,Medium
Commercial,2076,Urban,2,22,19-01-2024 17:43,29-07-2024 17:43,2057828.605,746755.6619,509947.5016,216091.1009,54477.94288,180221.8345,107692.3176,241,Windy,343,6653107.237,Small
Residential,8240,Rural,1,39,13-12-2024 19:29,06-03-2026 19:29,16892816.4,7393982.127,2881837.066,2211075.704,155261.9007,1591774.075,3036651.734,281,Rain,306,99167387.11,Medium
Residential,10716,Urban,5,11,22-12-2019 06:20,21-12-2021 06:20,12409015.55,6352696.444,3715540.838,1172334.083,162063.0526,398289.0297,686310.0544,48,Windy,941,67837019.56,Large
Infrastructure,10393,Rural,3,32,19-04-2020 02:46,01-01-2022 02:46,14563850.11,4035286.486,2662627.399,1776793.743,226933.6469,710793.8796,1511238.753,155,Storm,733,71424760.28,Large
Industrial,18416,Suburban,2,40,22-04-2023 19:38,19-12-2025 19:38,9253184.011,3187740.819,1936080.735,1165202.747,130379.4967,306843.3657,1748210.539,278,Storm,239,95035586.99,Large
Commercial,18409,Rural,2,46,11-06-2020 22:15,16-02-2023 22:15,31830207.88,15583744.44,10285521.23,3203561.53,772126.0084,1682268.986,5518085.083,90,Storm,260,93386912.6,Large
Residential,5481,Rural,1,36,30-04-2020 00:18,03-05-2021 00:18,12827362.72,4814757.549,4071735.558,1878848.787,289230.1877,445399.5811,817124.0489,54,Windy,518,74559738.55,Medium
Infrastructure,8604,Rural,2,42,05-07-2018 08:25,05-12-2019 08:25,10328466.29,4357797.122,2409116.436,811947.4106,135890.3931,663484.6196,926598.5295,106,Windy,98,39672708,Medium
Commercial,4470,Urban,3,47,07-07-2017 02:00,22-06-2018 02:00,7744144.991,3714895.196,2359521.925,962295.4352,139435.8993,735647.4358,1475590.878,126,Snow,619,47824547.7,Small
Commercial,4837,Urban,1,35,18-02-2018 17:47,22-01-2019 17:47,3809061.836,1725913.938,618914.7476,387082.8639,22143.18969,280013.5216,379594.4766,199,Snow,557,28265125.81,Small
Infrastructure,17579,Rural,5,47,11-12-2024 17:52,08-08-2027 17:52,10168195.05,5234342.214,2218412.932,952935.1747,421608.0284,799086.687,1717502.191,231,Windy,322,62406528.14,Large
Educational,10447,Rural,2,38,26-02-2023 08:37,02-12-2024 08:37,4839074.55,2558295.298,1705010.887,556656.4634,69129.95659,156016.2731,381320.0257,73,Snow,748,46173656.51,Large
Residential,19648,Urban,1,39,04-09-2022 08:00,27-07-2025 08:00,31068137.4,13433030.38,11676481.89,4308470.737,1045387.059,2946374.576,5187635.441,84,Storm,800,6717607.466,Large
Commercial,6680,Rural,2,19,12-01-2017 17:37,24-04-2018 17:37,3226803.321,1295002.584,859829.756,363838.538,122080.2778,113544.5146,555285.2972,91,Storm,729,93787152.14,Medium
Infrastructure,18138,Rural,4,43,31-03-2020 21:42,31-12-2022 21:42,38848279.68,8127967.861,11300095.39,5710322.544,1043578.383,1925127.494,6753405.599,103,Storm,244,34761689.8,Large
Educational,17360,Suburban,3,20,24-11-2017 21:06,16-06-2020 21:06,40352207.02,13587688.42,7708703.864,4597261.229,266115.5136,3935320.325,6511975.735,276,Snow,312,81298999.39,Large
Industrial,13363,Suburban,3,38,20-10-2021 13:22,10-10-2023 13:22,25799634.35,7739959.7,8733601.114,1950029.373,1054992.577,1851667.988,4206161.66,259,Rain,84,77504344.45,Large
Educational,14072,Urban,4,37,31-05-2016 04:50,16-07-2018 04:50,28697615.22,10192688.28,11119183.09,3947240.036,354370.2554,1975541.758,3570275.131,35,Windy,127,31513850.95,Large
Residential,10066,Suburban,5,14,06-06-2017 01:34,14-02-2019 01:34,9729235.695,3504213.015,3574397.879,1089546.119,419967.5013,498470.0126,1043465.103,98,Rain,632,57204459.55,Large
Infrastructure,11818,Urban,4,23,23-10-2024 22:48,10-10-2026 22:48,11282167.22,3197731.929,3009172.968,1149494.973,347152.8315,411383.9973,1227044.724,263,Clear,596,76777438.01,Large
Commercial,12922,Rural,4,6,25-03-2024 01:29,12-06-2026 01:29,6419194.329,2680423.462,2451365.746,932331.848,316978.1665,347185.8455,940199.1535,123,Snow,880,42261467.6,Large
Industrial,9237,Suburban,1,4,10-01-2024 21:08,25-08-2025 21:08,21275339.68,9985615.329,6349933.455,2074897.974,641297.9675,1426137.504,1234937.73,114,Foggy,966,80216325.93,Medium
Residential,19327,Suburban,3,36,05-11-2018 05:52,11-09-2021 05:52,20492933.36,11339702.08,7596401.001,1789371.426,147078.2859,1663296.667,1352831.73,48,Foggy,241,20886883.58,Large
Educational,19358,Suburban,4,8,15-07-2022 10:48,10-06-2025 10:48,45222880.98,9942905.137,17430469.34,4693825.33,1180337.866,2790063.573,6643823.035,251,Snow,159,10814991.27,Large
Commercial,4650,Urban,5,9,28-03-2018 11:17,31-03-2019 11:17,2315948.639,1356137.767,354958.0267,185639.1417,106597.6934,209832.6797,318633.3332,34,Storm,684,37705838.45,Small
Industrial,2640,Suburban,2,27,20-08-2020 08:24,07-05-2021 08:24,3314699.999,1470771.734,855896.556,224436.7333,106568.6027,125475.8893,650158.3091,175,Windy,874,77725702.57,Small
Industrial,12040,Rural,4,15,18-01-2020 05:22,09-01-2022 05:22,14295031.88,6458789.989,4263994.4,1878490.848,156745.4468,1275649.791,2787099.012,217,Clear,613,55258799.4,Large
Commercial,7771,Suburban,1,7,03-12-2022 13:16,03-04-2024 13:16,10952488.1,5653006.743,3398701.641,1616449.856,414461.6388,445612.9021,1367936.939,116,Rain,630,46719764.87,Medium
Residential,19238,Suburban,1,22,15-04-2015 08:56,21-03-2018 08:56,37571960.03,10007507.25,10191582.08,1919795.261,1798547.884,3726167.949,7405659.635,89,Foggy,696,85463137.17,Large
Commercial,12310,Urban,5,44,17-02-2019 19:42,16-02-2021 19:42,16597411.53,5532212.427,5957306.042,1779583.086,441966.1586,612989.2137,2748197.189,73,Storm,974,43533152.51,Large
Infrastructure,14711,Rural,4,46,10-03-2017 07:51,31-07-2019 07:51,17871437.94,7743859.839,5809573.218,2460327.679,152875.8275,1364888.827,2674454.569,208,Storm,650,93387823.47,Large
Educational,15682,Urban,4,10,08-09-2017 05:38,26-02-2020 05:38,27226470.66,15571771.27,4622909.916,3441570.819,773279.3847,1311141.638,3389836.522,17,Clear,990,77903254.74,Large
Infrastructure,1157,Rural,4,7,16-02-2017 19:02,30-05-2017 19:02,2848919.257,964637.8215,488628.2254,246630.136,44290.1433,251416.2203,263698.7628,291,Windy,122,32123386.64,Small
Commercial,19018,Urban,1,26,11-02-2018 19:44,30-01-2021 19:44,13821035.62,4455215.651,5289439.485,2035393.401,254817.925,851163.5446,1660382.634,239,Storm,679,77208398.44,Large
Infrastructure,12340,Urban,4,18,04-02-2020 11:26,16-03-2022 11:26,20525290.84,6446168.558,3665429.15,1433366.114,960167.6936,1205115.162,3451449.753,55,Clear,673,19035106.9,Large
Residential,9069,Suburban,5,30,14-01-2015 00:14,03-08-2016 00:14,22290181.48,5601896.389,5594578.925,2590584.364,1029931.607,1008618.821,4408791.75,10,Clear,352,80128291.96,Medium
Residential,1152,Suburban,4,30,23-12-2016 09:47,11-06-2017 09:47,1877449.972,1115216.35,358828.9682,242254.9329,24425.96654,139077.2806,256812.0767,175,Foggy,606,48846055.06,Small
Industrial,12406,Rural,3,11,21-10-2024 09:47,26-08-2026 09:47,15994176.21,5119086.67,5843033.876,1073512.101,169352.4046,1381373.495,2471013.466,35,Rain,297,11968307.62,Large
Industrial,7077,Rural,1,12,15-12-2015 09:12,28-01-2017 09:12,4264178.437,1957203.843,1023937.726,361180.1451,30691.87047,311049.527,689255.3027,70,Storm,560,92407345.24,Medium
Commercial,2414,Suburban,1,16,14-05-2023 18:08,01-01-2024 18:08,1342965.719,271531.1014,299506.2611,152892.546,49398.83651,85527.18377,119521.6846,269,Foggy,863,94910852.6,Small
Infrastructure,12911,Urban,4,42,28-09-2017 06:52,11-11-2019 06:52,15439602.1,3894417.093,5213993.773,910616.355,79655.19919,1181057.181,1412250.823,104,Snow,761,78790496.56,Large
Educational,9274,Urban,2,29,18-10-2016 09:27,02-04-2018 09:27,14683976.1,7744958.83,5189045.244,744756.5056,376165.6826,518193.1019,2616749.271,159,Foggy,428,42440590.19,Medium
Industrial,3978,Urban,4,10,12-08-2020 10:09,28-05-2021 10:09,3996285.805,1331628.446,707450.5225,490594.6559,89675.89992,172130.852,349046.2538,127,Clear,162,16657403.07,Small
Residential,19998,Rural,3,18,01-07-2016 01:57,28-05-2019 01:57,8884164.141,2670951.001,1345505.171,1101638.327,244873.9582,282655.1151,939985.7572,104,Storm,311,85192715.59,Large
Residential,13194,Rural,2,18,03-02-2023 17:02,14-03-2025 17:02,7211605.975,2548693.269,2610438.859,515982.3015,77918.46163,583356.0359,705704.1978,177,Rain,931,71183336.05,Large
Commercial,13491,Rural,1,18,12-06-2017 05:40,05-08-2019 05:40,21937827.95,12165937.44,7333432.674,2854827.822,321691.95,772518.1443,1432035.854,176,Storm,866,78512668.63,Large
Commercial,4159,Rural,1,7,12-01-2015 12:41,29-11-2015 12:41,2838113.835,1076740.229,949188.7365,246830.8,19064.93448,176966.2661,395927.6563,236,Windy,616,42281934.29,Small
Infrastructure,3985,Urban,3,8,28-09-2018 14:09,25-08-2019 14:09,4820494.25,1504265.627,1521563.872,355233.9947,178313.2271,238899.6895,495871.8084,11,Rain,817,94291284.35,Small
Residential,2566,Urban,1,18,13-07-2024 14:04,09-12-2024 14:04,3979613.209,1186031.217,1261558.991,293815.3931,84346.4817,332077.6468,306147.1187,223,Windy,183,81131252.6,Small
Residential,13194,Suburban,2,37,03-06-2020 00:36,13-06-2022 00:36,20551098.12,8994330.964,4429003.738,2026528.286,880146.7592,1766137.831,1493192.161,151,Snow,627,39967804.78,Large
Educational,6919,Urban,5,37,06-05-2019 06:15,28-09-2020 06:15,12016455.34,3413883.262,2701315.256,1617169.413,136289.6086,724921.5022,798304.1401,134,Foggy,906,26920209.39,Medium
Industrial,18630,Suburban,3,7,02-06-2017 10:29,08-04-2020 10:29,43464584.14,9006045.638,9564968.551,3646153.552,2168218.789,3795157.655,6512607.748,209,Foggy,741,52889074.33,Large
Educational,7807,Suburban,1,30,06-09-2020 13:45,26-01-2022 13:45,18247149.62,6051844.762,6680080.405,1824262.592,461305.6006,1368635.74,1006106.195,198,Snow,874,12481958,Medium
Infrastructure,4793,Urban,4,22,07-12-2021 11:00,16-11-2022 11:00,3078603.089,1190915.388,756726.7713,313222.2227,33276.28417,199470.4652,386830.2299,108,Snow,359,86224040.51,Small
Infrastructure,13045,Urban,4,23,16-10-2019 17:59,13-11-2021 17:59,12477072.84,5644351.322,3201585.628,1805394.147,473023.6327,988551.9489,987630.9716,193,Clear,471,91615921.02,Large
Residential,16164,Suburban,2,48,13-11-2016 05:52,06-06-2019 05:52,14307403.04,4506327.211,2429786.935,1615176.398,131825.9421,559882.2685,798444.1202,259,Windy,701,35166317.03,Large
Infrastructure,17912,Suburban,1,34,16-11-2018 20:24,18-06-2021 20:24,17872322.98,6051673.949,3580488.54,2646885.776,657063.2662,954514.8926,1220035.571,234,Snow,202,34431661.65,Large
Educational,10055,Rural,2,6,05-01-2016 02:09,26-08-2017 02:09,23696207.49,5469087.302,6411720.266,2154387.549,486629.96,732858.007,2139713.785,180,Foggy,764,33876832.76,Large
Infrastructure,16663,Suburban,3,48,22-11-2022 16:34,11-06-2025 16:34,17473165.16,8014371.904,6789405.642,2393306.346,642380.8518,1695991.95,3054112.263,115,Rain,652,3948088.425,Large
Educational,10994,Urban,4,6,05-11-2021 22:20,08-09-2023 22:20,9419760.079,3078394.063,2400793.013,886944.5286,388470.9434,793270.0535,874023.5735,77,Clear,329,5715754.544,Large
Educational,1757,Urban,5,49,26-08-2020 17:31,03-05-2021 17:31,918504.6398,348743.6686,242139.9821,122495.1801,4847.04195,82125.28232,109183.4004,50,Snow,908,86615967.32,Small
Educational,7543,Urban,1,17,08-11-2024 12:34,26-02-2026 12:34,7134261.712,2972965.377,2760907.861,407270.6538,204670.3693,428359.7318,703571.1433,27,Storm,613,31298450.21,Medium
Commercial,10264,Urban,4,9,09-02-2023 23:41,04-10-2024 23:41,19967238.99,8790763.738,7140428.574,1817076.99,407901.8416,771589.172,3178484.318,198,Snow,386,28717418.08,Large
Residential,4126,Rural,3,44,04-06-2023 14:31,18-05-2024 14:31,6240389.424,2210966.44,1596079.212,792487.1529,57222.83407,543736.5172,972357.808,139,Clear,974,26364999.62,Small
Educational,13490,Urban,2,37,17-06-2018 02:08,23-05-2020 02:08,10025285.56,2171973.824,3312084.179,685951.4423,470891.0835,759490.7101,1260722.408,285,Clear,69,40210437.9,Large
Industrial,7186,Rural,5,14,05-04-2016 21:34,26-09-2017 21:34,14234432.9,4203795.322,4647403.706,1197112.72,389013.1608,764434.3833,2318418.528,232,Storm,948,96891873.19,Medium
Residential,13003,Suburban,3,28,22-02-2016 09:03,20-01-2018 09:03,15419932.07,8727094.123,3339155.494,1041507.709,202958.684,1037540.313,2165635.264,256,Clear,204,90990120.18,Large
Industrial,7899,Urban,3,11,07-11-2019 17:49,21-01-2021 17:49,11889841.64,6422605.626,3654676.312,707918.4131,218183.3842,1085520.727,2343349.23,221,Rain,273,62261587.47,Medium
Educational,941,Suburban,1,45,09-01-2022 19:02,19-05-2022 19:02,1232343.02,451520.7792,293374.2504,118315.8987,44558.15261,61874.45078,229042.6809,243,Rain,657,23753310.54,Small
Commercial,5321,Suburban,1,4,30-04-2015 08:35,17-05-2016 08:35,5117349.731,1325096.93,925455.365,280365.6918,130017.0428,169951.477,477297.0429,111,Windy,584,39917435.66,Medium
Commercial,19828,Suburban,2,43,14-10-2022 10:01,02-11-2025 10:01,16306204.27,8206175.505,5436223.859,1612645.294,736802.1154,951347.5397,1694463.916,219,Foggy,780,92607512.15,Large
Residential,733,Rural,5,43,10-05-2018 20:55,08-10-2018 20:55,316924.2143,108276.7782,77583.7111,42406.62652,3647.166264,14262.08186,29348.77456,262,Foggy,329,10708767.05,Small
Industrial,5032,Suburban,4,21,15-05-2017 01:51,30-03-2018 01:51,6775271.958,2755730.306,1418226.747,465455.5914,185476.9101,502188.0574,939874.7788,204,Foggy,109,7723039.012,Medium
Educational,4049,Rural,4,11,28-06-2018 00:27,27-03-2019 00:27,3454739.565,1259394.621,660865.1037,282263.7775,170624.5362,276978.2447,453128.343,74,Foggy,295,82310182.26,Small
Educational,6176,Urban,5,41,08-07-2018 20:14,30-08-2019 20:14,11215880.17,6329528.841,1887962.365,688726.2052,343642.5533,999690.1987,1760800.112,268,Rain,135,51202782.05,Medium
Residential,3192,Suburban,4,29,29-10-2024 09:36,15-06-2025 09:36,4626405.827,2140185.002,783846.9255,559529.2177,24417.70857,300026.7203,853492.933,176,Clear,167,22984661.1,Small
Educational,547,Urban,4,16,23-02-2016 10:42,19-07-2016 10:42,1240568.947,489793.0213,201151.6543,139560.4917,58631.75656,109801.2337,151615.2787,76,Clear,960,66880601.53,Small
Commercial,7331,Suburban,2,8,25-08-2023 15:56,03-11-2024 15:56,7740890.811,3710390.29,2210587.924,1130711.531,54802.62291,580505.6891,858132.0029,23,Clear,406,66774667.26,Medium
Educational,4376,Rural,3,37,16-04-2017 01:35,30-03-2018 01:35,2074259.636,886125.7833,777679.6382,259710.3162,36732.63717,86828.53465,379365.9953,174,Snow,676,580303.0917,Small
Commercial,8434,Rural,5,30,19-11-2016 22:41,11-05-2018 22:41,17499846.9,7738802.915,3892232.002,2137617.31,278988.1138,1070232.983,1596169.549,47,Foggy,595,60498364.49,Medium
Residential,3820,Suburban,3,41,18-08-2018 19:43,31-05-2019 19:43,5861316.652,2613073.359,1233008.594,371990.8848,64740.49066,286964.0303,573181.3801,40,Clear,678,39991915.84,Small
Industrial,3168,Urban,2,25,12-12-2021 18:39,14-09-2022 18:39,7533937.053,2728723.047,1607433.801,965980.7677,79081.06807,444882.7718,518590.7857,178,Rain,822,55230793.98,Small
Infrastructure,13831,Urban,1,36,19-10-2017 17:03,19-12-2019 17:03,6256126.678,3108243.14,1375987.502,484495.5748,208187.7873,213110.6183,476253.2215,170,Snow,656,69984400.07,Large
Commercial,12314,Urban,2,29,19-04-2020 19:09,15-03-2022 19:09,6890751.235,3641000.986,1464999.051,989939.1985,303230.3418,273274.6201,1204736.433,56,Foggy,291,29792832.75,Large
Industrial,1599,Suburban,1,7,23-05-2023 11:45,03-11-2023 11:45,2732169.122,1454080.047,654459.6858,409012.8435,21958.84264,231271.297,530352.4868,118,Rain,712,96644590.24,Small
Educational,8402,Rural,2,27,23-06-2020 12:40,10-11-2021 12:40,19237005.28,10667162.41,3806281.313,2574744.412,643470.354,930356.7699,3206294.002,70,Windy,527,79385803.94,Medium
Educational,1707,Urban,4,44,15-03-2020 00:09,08-12-2020 00:09,3304509.177,848018.6577,1198694.42,470606.8798,134627.3498,195206.458,612443.913,291,Windy,953,59238395.38,Small
Industrial,10951,Suburban,2,4,26-10-2021 14:36,15-08-2023 14:36,16216026.89,7871015.192,5064997.776,969822.7357,510830.5836,1588761.629,1244335.856,194,Snow,802,8239714.986,Large
Industrial,19420,Rural,4,32,27-09-2018 04:40,25-10-2021 04:40,15355555.76,4338161.765,2503736.048,1127250.115,258830.8004,1340017.471,1369873.002,188,Clear,810,78220398.99,Large
Residential,14814,Suburban,4,17,24-11-2021 00:29,24-04-2024 00:29,24300118.82,5732222.99,6985280.039,2642190.135,224151.859,1800996.374,1371322.555,174,Foggy,723,93475356.65,Large
Commercial,1237,Rural,3,18,14-04-2024 16:07,26-10-2024 16:07,735693.8892,343144.8797,171974.7434,107588.2392,26874.2797,43968.38478,144206.9469,216,Windy,816,91999663.25,Small
Industrial,1157,Urban,4,21,10-02-2016 20:35,16-07-2016 20:35,875499.1856,375287.6496,227391.3394,77770.56256,30273.43214,62138.2512,156502.1688,123,Foggy,89,62015959.61,Small
Industrial,1926,Rural,1,6,04-08-2019 11:18,07-01-2020 11:18,1625108.726,786988.7183,447845.1522,162610.5868,14271.83691,117133.7422,223121.7744,219,Clear,623,99676961.98,Small
Residential,8010,Urban,4,31,18-10-2022 02:05,17-04-2024 02:05,9808791.61,3890952.146,2801627.225,593204.6344,138725.8492,430888.7219,1177614.668,200,Clear,904,14664547.9,Medium
Commercial,7730,Urban,5,20,19-01-2016 23:24,03-05-2017 23:24,4797520.955,1388233.88,1145997.558,705587.7044,96049.86123,477640.0491,669068.8405,285,Snow,139,72370946.89,Medium
Industrial,18766,Urban,1,5,18-10-2024 16:32,14-08-2027 16:32,16955314.22,5874991.927,3598781.137,1287698.788,492500.5441,1663045.125,2277928.71,30,Rain,737,80566864.48,Large
Educational,2941,Suburban,4,44,24-01-2015 15:16,15-08-2015 15:16,5961265.861,2852969.629,2278916.443,384312.0641,68272.02236,420269.778,1089473.464,133,Storm,256,58330671.51,Small
Residential,853,Suburban,3,16,07-05-2019 12:18,02-09-2019 12:18,772622.1039,429217.329,228992.9134,110581.6606,14568.47791,47493.46093,44957.92694,272,Foggy,129,79151436.63,Small
Commercial,3237,Rural,4,20,30-06-2024 17:33,09-03-2025 17:33,5795909.935,2308998.207,1562673.414,542549.061,268009.9109,505275.9477,649438.7521,74,Windy,211,44216253.04,Small
Industrial,11681,Urban,4,50,23-12-2017 11:26,30-10-2019 11:26,18059637.9,4488019.937,5230869.5,2552007.791,230365.3193,1642213.03,2052995.544,186,Foggy,438,91973928.21,Large
Commercial,11732,Urban,3,47,14-08-2019 19:09,23-05-2021 19:09,20764613.09,4684841.586,6915543.236,2511694.142,559634.5269,1135365.821,1434298.732,242,Storm,340,85965235.32,Large
Educational,14647,Suburban,4,35,13-10-2018 16:19,30-03-2021 16:19,13598271.3,4681657.713,3832663.56,1122058.396,407772.6217,1018333.947,1830492.065,266,Storm,819,62443933.95,Large
Industrial,1913,Suburban,3,28,19-11-2022 19:53,15-04-2023 19:53,2020372.966,1168823.232,441120.843,117443.9568,14084.12305,109766.4018,168083.5369,67,Storm,51,4689100.186,Small
Residential,8776,Rural,2,5,04-07-2023 07:01,28-10-2024 07:01,5235966.449,2907433.955,1053760.082,487226.6473,73851.29558,504744.3176,835944.1985,71,Windy,297,80856942.62,Medium
Residential,7869,Rural,5,26,14-07-2024 20:37,22-11-2025 20:37,18049101.33,5214653.372,7082311.955,1276252.27,187541.0204,1299894.693,3057669.976,112,Storm,439,17994984.67,Medium
Commercial,7612,Rural,1,34,07-09-2015 06:33,07-11-2016 06:33,4898660.578,1768501.975,962466.7767,300499.2158,231197.5498,224983.1191,866894.6983,283,Storm,141,87917646.61,Medium
Residential,5628,Rural,4,28,07-05-2017 13:21,04-04-2018 13:21,4213548.494,1664739.865,1595222.405,337965.2977,204557.8149,339222.9266,724389.4032,76,Rain,333,79596416.3,Medium
Commercial,13747,Suburban,1,30,20-10-2015 11:34,04-12-2017 11:34,18404488.85,6914555.66,7204877.712,1135199.855,683708.5586,560789.9881,2267558.972,269,Snow,794,27392932.66,Large
Infrastructure,1321,Rural,1,24,27-04-2016 17:39,22-08-2016 17:39,1311905.103,466618.3392,237370.7411,188401.5244,60694.37179,112115.5546,251730.5119,128,Clear,189,93851247.79,Small
Commercial,8480,Suburban,2,29,19-01-2020 21:18,15-05-2021 21:18,15721286.15,5472091.825,3953576.019,1187409.585,105363.2157,485342.5478,809495.3835,103,Windy,307,64556069.17,Medium
Commercial,5005,Rural,5,8,10-09-2015 02:44,13-09-2016 02:44,9485118.811,3403214.29,2064636.425,574769.251,356164.2752,479195.4103,1589964.746,50,Storm,284,14925054.88,Medium
